stationId,stationName,stationLongitude,stationLatitude,parkingQRBikeCnt,parkingELECBikeCnt,parkingTotBikeCnt
ST-1435,398. 을지로3가역 3번출구,126.99243927,37.56655884,4,0,4
ST-1436,399. 서울역 센트럴 자이아파트,126.96540833,37.55410767,0,0,0
ST-110,400. 상암한화오벨리스크 1차 앞,126.88300323,37.58752441,18,8,26
ST-76,401. 상암월드컵파크 10단지 앞,126.88161469,37.58618927,6,10,16
ST-77,402. 상암월드컵파크 9단지 앞,126.87982178,37.58285522,5,6,11
ST-78,403. 부엉이공원 앞,126.88472748,37.58559036,0,0,0
ST-80,405. DMC빌 앞,126.88578796,37.58265686,9,1,10
ST-81,406. 상암월드컵파크 7단지 앞,126.88087463,37.58111191,10,12,22
ST-83,407. 마포구 육아종합지원센터,126.88367462,37.58063126,5,1,6
ST-84,408. LG CNS앞,126.88665009,37.58081055,1,0,1
ST-86,409. 누리꿈스퀘어 옆,126.88916016,37.57939911,18,0,18
ST-88,410. 상암중학교 옆,126.88747406,37.57739258,0,0,0
ST-90,411. DMC홍보관,126.89147186,37.5779953,13,0,13
ST-91,412. DMC산학협력연구센터 앞,126.89073944,37.57580185,2,0,2
ST-92,413. 상암월드컵파크 3단지 후문,126.88968658,37.57147598,4,2,6
ST-94,414. 상암동주민센터 옆,126.89447021,37.57822037,13,0,13
ST-95,415. DMC역 9번출구 앞,126.89736176,37.57746887,0,0,0
ST-96,416. 상암월드컵파크 1단지 교차로,126.89444733,37.57566452,0,0,0
ST-93,417. DMC역 2번출구 옆,126.8999176,37.57506943,3,0,3
ST-89,418. 월드컵경기장역 3번출구 옆,126.89897919,37.57072067,4,0,4
ST-87,419. 홈플러스 마포점 앞,126.89942932,37.56842041,5,1,6
ST-85,420. 서울시 공공자전거 상암센터,126.8961792,37.56624603,87,21,108
ST-82,421. 마포구청 앞,126.9018631,37.56574631,17,2,19
ST-968,422. 문화비축기지,126.89440155,37.56897736,1,0,1
ST-990,424. 롯데하이마트 (상암월드컵점) ,126.8980484,37.57361984,2,0,2
ST-991,425. DMC첨단산업센터,126.88559723,37.58450317,1,0,1
ST-992,426. 서울신용보증재단,126.95417786,37.54906082,7,1,8
ST-1397,427. 성산시영아파트,126.90381622,37.56958389,12,0,12
ST-1437,428. 명보사거리,126.99143219,37.56439972,1,0,1
ST-1438,429. 송도병원,127.00734711,37.54988861,1,7,8
ST-1439,430. 장충동먹자골목 앞,127.0062561,37.56212616,2,3,5
ST-1440,431. 청계천 영도교,127.01974487,37.5710144,4,24,28
ST-1494,432. 마포중앙도서관,126.90820312,37.56333923,0,1,1
ST-1668,433. 을지로입구역 2번출구,126.98229218,37.56634521,7,1,8
ST-1669,434. 신당 래미안 버스정류장,127.02393341,37.56148911,27,1,28
ST-1670,435. SK 남산빌딩,126.97561646,37.55686188,0,0,0
ST-1675,436. 이대역 5번출구,126.94618988,37.55659103,0,0,0
ST-1691,437. 대흥역 1번출구,126.9409256,37.54846954,3,5,8
ST-1692,438. 성산2-1 공영주차장,126.9067688,37.56472015,18,1,19
ST-1754,440. 하늘공원 입구,126.88134766,37.57012177,8,2,10
ST-1761,441.염천교사거리,126.97149658,37.55989075,6,1,7
ST-1768,442.서울역 서부,126.9691925,37.55641556,0,0,0
ST-1769,443.호암아트홀,126.97071838,37.5621109,0,1,1
ST-1771,445.대한상공회의소,126.97410583,37.56015396,9,0,9
ST-938,446. 상명대입구,126.95783234,37.60012817,8,0,8
ST-939,447. 신영동삼거리,126.96194458,37.60399246,0,0,0
ST-941,449. 일성아파트,126.97286224,37.60871887,3,0,3
ST-978,450. 효자동 삼거리,126.97254944,37.58360291,16,0,16
ST-979,451. 청와대앞길,126.97966766,37.58351517,0,1,1
ST-1605,452. 동대문 종합시장 버스정류장,127.00440979,37.57123947,0,0,0
ST-1606,453. 종로오가 지하쇼핑센터 14번출구,127.00067139,37.57114029,6,2,8
ST-1607,454. 종로2가 버스정류장 (종각방향),126.98638153,37.57035828,0,0,0
ST-1608,455. 종로6가역 버스정류장(동대문 방향),127.00605774,37.570961,4,2,6
ST-1609,456. 숭인2동 주민센터 입구,127.0198288,37.57447052,6,18,24
ST-1610,457. 종로꽃시장 입구 옆,127.00720978,37.57131958,6,4,10
ST-1611,458. 광화문역 5번출구,126.97756958,37.56989288,2,0,2
ST-1619,461. 서울지방경찰청,126.97236633,37.57436371,1,1,2
ST-1752,462. 신영동삼거리(북악터널방향),126.96206665,37.60351181,0,0,0
ST-1756,464. 삼청동 골목,126.98169708,37.58419037,1,0,1
ST-1759,465. 삼청공원 앞,126.9835968,37.58760452,1,1,2
ST-1772,466.롯데호텔,126.97981262,37.56584167,2,0,2
ST-1773,467.한국은행,126.98086548,37.5622139,1,0,1
ST-1774,468.웨스틴 조선호텔,126.97948456,37.56415939,1,0,1
ST-1775,469.회현역 1번출구,126.98014069,37.5592308,0,0,0
ST-1776,470.회현역 7번출구,126.98000336,37.55974579,1,0,1
ST-1777,471.회현사거리 남측,126.98265076,37.56035995,4,0,4
ST-1778,472.삼일교(시그니쳐 타워),126.98840332,37.56787109,5,0,5
ST-1779,473.을지로4가역 9번출구,126.99798584,37.56605148,3,1,4
ST-1780,474.동대문역사문화공원역 1번출구 뒤편,127.00849152,37.56629944,22,9,31
ST-1781,475.DDP 패션몰,127.0118103,37.56764984,12,5,17
ST-1782,476.광희문,127.00995636,37.56443024,3,4,7
ST-1783,477.앰배서더 호텔 주변,127.00268555,37.55928802,0,0,0
ST-1785,479.동대입구역 3번 출구,127.00602722,37.55937576,7,2,9
ST-1786,480.약수역 6번 출구,127.01070404,37.55432129,5,9,14
ST-1787,481.신당역 10번 출구,127.01579285,37.56703186,2,3,5
ST-1789,483.남산타운아파트 버스정류장,127.00643921,37.54758453,0,0,0
ST-1790,484.도동삼거리,126.97742462,37.55614853,0,0,0
ST-1791,485.서울역5번출구,126.97319794,37.55677032,7,1,8
ST-2019,486. 평창동주민센터 앞,126.96832275,37.60627365,1,0,1
ST-2146,487.신석초교앞 교차로 교통섬,126.93830872,37.54364014,38,5,43
ST-2147,488.푸르메병원,126.88021088,37.58456802,3,8,11
ST-2148,489.구룡근린공원,126.88276672,37.58320236,0,3,3
ST-2149,490.가온문화공원,126.88766479,37.58207703,4,0,4
ST-2150,491.월드컵파크 4단지,126.88806915,37.57597733,1,0,1
ST-2152,493.홍대입구역 6번출구,126.9288559,37.55657578,2,0,2
ST-2153,494.신수동주민센터,126.93502808,37.54724503,1,2,3
ST-2154,495.염리초등학교 앞,126.9469986,37.54243088,11,1,12
ST-2156,497.합정동주민센터 앞,126.91230011,37.551754,4,0,4
ST-2157,498.연남동주민센터 앞,126.92212677,37.56465149,1,2,3
ST-97,500. 어린이대공원역 3번출구 앞,127.07427216,37.54706955,4,0,4
ST-98,501. 광진구의회 앞,127.07035065,37.53730774,7,1,8
ST-99,502. 뚝섬유원지역 1번출구 앞,127.06719208,37.53186035,26,6,32
ST-102,505. 자양사거리 광진아크로텔 앞,127.08224487,37.53701019,0,0,0
ST-103,506. 금호 어울림 아파트 앞,127.05779266,37.54906082,4,0,4
ST-105,508. 성수아카데미타워 앞,127.05751038,37.54516602,10,0,10
ST-107,510. 서울숲 남문 버스정류소 옆,127.04380035,37.54122162,0,1,1
ST-108,511. 서울숲역 5번 출구 옆,127.04460907,37.54458237,0,1,1
ST-109,512. 뚝섬역 1번 출구 옆,127.0450058,37.5485611,5,0,5
ST-111,513. 뚝섬역 5번 출구 정류소 옆,127.04980469,37.54630661,2,0,2
ST-112,514. 성수사거리 버스정류장 앞,127.06330872,37.54257965,0,0,0
ST-113,515. 광양중학교 앞,127.08683014,37.53023529,16,1,17
ST-114,516. 광진메디칼 앞,127.06936646,37.54840469,25,1,26
ST-234,518. 청계천 박물관 앞,127.03535461,37.57152557,0,9,9
ST-235,519. 양지사거리,127.02991486,37.56699371,11,6,17
ST-236,520. 상왕십리역 4번 출구 앞,127.03031921,37.56385803,0,0,0
ST-237,521. 왕십리역 11번 출구 앞,127.03491974,37.56144714,0,0,0
ST-238,522. 금호역 1번출구 앞,127.01642609,37.5486412,4,2,6
ST-239,523. 옥수동성당 옆,127.01406097,37.54366302,0,0,0
ST-240,524. 래미안금호하이리버 아파트 102동 옆,127.02505493,37.55220032,4,4,8
ST-241,525. 한양대병원사거리,127.04035187,37.55805206,3,1,4
ST-242,526. 용답토속공원 앞,127.05672455,37.56351089,29,1,30
ST-243,529. 장한평역 8번 출구 앞,127.06365967,37.56137085,44,0,44
ST-244,530. 청계벽산아파트 앞,127.03040314,37.56874847,20,9,29
ST-245,533. 금남시장 교차로,127.02108765,37.54814911,19,4,23
ST-246,534. 금호사거리,127.02572632,37.54863358,8,3,11
ST-247,535. 응봉삼거리,127.03359222,37.5539856,0,0,0
ST-248,536. 행당역 2번출구 앞,127.02921295,37.55735016,0,3,3
ST-249,537. 한양대후문역 부근,127.04139709,37.56035614,2,0,2
ST-250,538. 답십리역 8번출구 앞,127.05115509,37.56764984,35,6,41
ST-252,539. 군자교교차로,127.07420349,37.55979538,18,1,19
ST-253,540. 군자역 7번출구 베스트샵 앞,127.0786438,37.55603027,0,1,1
ST-254,542. 강변역 4번출구 뒤,127.09416199,37.53582382,11,0,11
ST-255,543. 구의공원(테크노마트 앞),127.09467316,37.53596878,20,2,22
ST-256,544. 광남중학교,127.10290527,37.54072952,22,1,23
ST-257,546. 잠실대교북단 교차로,127.08509064,37.53247833,2,0,2
ST-258,548. 자양나들목,127.07485962,37.5297699,35,3,38
ST-259,549. 아차산역 3번출구,127.08970642,37.55122375,1,2,3
ST-251,550. 서울시설공단 앞,127.03565979,37.57164001,5,7,12
